sms,amount,transaction_type,bank,merchant,account,date,reference,category
Rs 6205.49 received to Zomato from your A/c x6423 on 19/04/2023. Ref 9224645902,6205.49,received,HSBC,Zomato,x6423,19/04/2023,9224645902,Food
Rs 2169.05 credited to Uber from your A/c x8652 on 08/09/2023. Ref 8326016387,2169.05,credited,Kotak,Uber,x8652,08/09/2023,8326016387,Shopping
Rs 3791.32 credited to Flipkart from your A/c x3691 on 17/06/2023. Ref 4684875072,3791.32,credited,ICICI,Flipkart,x3691,17/06/2023,4684875072,Grocery
Rs 9640.38 received to BigBasket from your A/c x5583 on 11/09/2024. Ref 5254425994,9640.38,received,HSBC,BigBasket,x5583,11/09/2024,5254425994,Transport
Rs 5591.65 debited to BigBasket from your A/c x5669 on 12/05/2023. Ref 2268817523,5591.65,debited,Axis,BigBasket,x5669,12/05/2023,2268817523,Transport
Rs 8539.21 sent to BigBasket from your A/c x5647 on 19/08/2023. Ref 1139642700,8539.21,sent,HSBC,BigBasket,x5647,19/08/2023,1139642700,Transport
Rs 9945.11 credited to Uber from your A/c x1627 on 03/08/2024. Ref 3233894306,9945.11,credited,ICICI,Uber,x1627,03/08/2024,3233894306,Shopping
Rs 5188.59 sent to Uber from your A/c x3840 on 13/11/2024. Ref 5830959085,5188.59,sent,HSBC,Uber,x3840,13/11/2024,5830959085,Shopping
Rs 2759.54 debited to BigBasket from your A/c x3610 on 10/04/2023. Ref 1583662457,2759.54,debited,HSBC,BigBasket,x3610,10/04/2023,1583662457,Transport
Rs 750.6 received to Swiggy from your A/c x2002 on 28/01/2024. Ref 5887761836,750.6,received,Kotak,Swiggy,x2002,28/01/2024,5887761836,Food
Rs 5205.62 sent to Zomato from your A/c x6526 on 09/03/2024. Ref 4536041121,5205.62,sent,ICICI,Zomato,x6526,09/03/2024,4536041121,Food
Rs 5344.25 received to Uber from your A/c x9222 on 29/04/2023. Ref 5297626611,5344.25,received,ICICI,Uber,x9222,29/04/2023,5297626611,Shopping
Rs 8610.58 sent to Uber from your A/c x6079 on 20/06/2024. Ref 9896702008,8610.58,sent,HSBC,Uber,x6079,20/06/2024,9896702008,Shopping
Rs 5110.75 sent to Swiggy from your A/c x9101 on 08/08/2024. Ref 2454345654,5110.75,sent,HSBC,Swiggy,x9101,08/08/2024,2454345654,Food
Rs 2798.7 debited to Amazon from your A/c x6335 on 20/08/2024. Ref 6633485575,2798.7,debited,Axis,Amazon,x6335,20/08/2024,6633485575,Shopping
Rs 1702.09 received to Amazon from your A/c x7307 on 07/09/2023. Ref 8581182409,1702.09,received,SBI,Amazon,x7307,07/09/2023,8581182409,Shopping
Rs 9286.11 credited to Flipkart from your A/c x8014 on 19/09/2024. Ref 7783043941,9286.11,credited,Kotak,Flipkart,x8014,19/09/2024,7783043941,Grocery
Rs 2086.99 received to BigBasket from your A/c x6197 on 21/01/2025. Ref 7926616429,2086.99,received,Axis,BigBasket,x6197,21/01/2025,7926616429,Transport
Rs 3175.38 debited to Amazon from your A/c x5108 on 05/08/2024. Ref 8836585961,3175.38,debited,Axis,Amazon,x5108,05/08/2024,8836585961,Shopping
Rs 1203.19 credited to Uber from your A/c x1536 on 26/11/2023. Ref 1648168950,1203.19,credited,Kotak,Uber,x1536,26/11/2023,1648168950,Shopping
Rs 7356.11 received to Swiggy from your A/c x5096 on 16/10/2024. Ref 7075787498,7356.11,received,Axis,Swiggy,x5096,16/10/2024,7075787498,Food
Rs 4782.37 received to Uber from your A/c x6362 on 07/05/2023. Ref 1577029332,4782.37,received,ICICI,Uber,x6362,07/05/2023,1577029332,Shopping
Rs 6415.9 credited to Amazon from your A/c x4186 on 23/02/2025. Ref 3436633515,6415.9,credited,SBI,Amazon,x4186,23/02/2025,3436633515,Shopping
Rs 4484.34 received to Amazon from your A/c x4183 on 02/02/2024. Ref 1417561490,4484.34,received,ICICI,Amazon,x4183,02/02/2024,1417561490,Shopping
Rs 5319.4 sent to BigBasket from your A/c x6844 on 14/06/2024. Ref 4122673095,5319.4,sent,HDFC,BigBasket,x6844,14/06/2024,4122673095,Transport
Rs 8468.78 debited to Amazon from your A/c x8488 on 09/06/2023. Ref 8387115054,8468.78,debited,Kotak,Amazon,x8488,09/06/2023,8387115054,Shopping
Rs 2284.76 sent to Flipkart from your A/c x5027 on 28/09/2023. Ref 4396888697,2284.76,sent,Kotak,Flipkart,x5027,28/09/2023,4396888697,Grocery
Rs 7195.91 debited to Uber from your A/c x8624 on 10/09/2023. Ref 3256297294,7195.91,debited,ICICI,Uber,x8624,10/09/2023,3256297294,Shopping
Rs 7467.75 received to Zomato from your A/c x6217 on 20/11/2024. Ref 2383761481,7467.75,received,HSBC,Zomato,x6217,20/11/2024,2383761481,Food
Rs 4546.33 sent to BigBasket from your A/c x6616 on 20/07/2023. Ref 5531630961,4546.33,sent,HSBC,BigBasket,x6616,20/07/2023,5531630961,Transport
Rs 8880.9 credited to Flipkart from your A/c x9925 on 05/02/2025. Ref 8485398788,8880.9,credited,Kotak,Flipkart,x9925,05/02/2025,8485398788,Grocery
Rs 2265.09 sent to Uber from your A/c x9874 on 20/06/2024. Ref 5672105134,2265.09,sent,HDFC,Uber,x9874,20/06/2024,5672105134,Shopping
Rs 8718.99 debited to Zomato from your A/c x1529 on 18/11/2023. Ref 9282165889,8718.99,debited,HSBC,Zomato,x1529,18/11/2023,9282165889,Food
Rs 9859.57 credited to Uber from your A/c x7623 on 27/08/2024. Ref 7914367637,9859.57,credited,ICICI,Uber,x7623,27/08/2024,7914367637,Shopping
Rs 677.42 credited to BigBasket from your A/c x8980 on 14/08/2023. Ref 6237764097,677.42,credited,HDFC,BigBasket,x8980,14/08/2023,6237764097,Transport
Rs 2425.15 sent to BigBasket from your A/c x5789 on 05/12/2024. Ref 5615046093,2425.15,sent,HDFC,BigBasket,x5789,05/12/2024,5615046093,Transport
Rs 8322.07 debited to Uber from your A/c x4583 on 31/01/2025. Ref 4064599791,8322.07,debited,Axis,Uber,x4583,31/01/2025,4064599791,Shopping
Rs 6548.65 received to Zomato from your A/c x8093 on 27/09/2024. Ref 2654312143,6548.65,received,SBI,Zomato,x8093,27/09/2024,2654312143,Food
Rs 3238.78 received to BigBasket from your A/c x9667 on 29/07/2024. Ref 6446701213,3238.78,received,Axis,BigBasket,x9667,29/07/2024,6446701213,Transport
Rs 1698.66 received to Flipkart from your A/c x8034 on 04/12/2024. Ref 6432498316,1698.66,received,SBI,Flipkart,x8034,04/12/2024,6432498316,Grocery
Rs 3832.74 sent to Zomato from your A/c x7771 on 19/04/2024. Ref 1079943685,3832.74,sent,Kotak,Zomato,x7771,19/04/2024,1079943685,Food
Rs 6105.52 debited to Flipkart from your A/c x2932 on 03/06/2024. Ref 3487540939,6105.52,debited,Axis,Flipkart,x2932,03/06/2024,3487540939,Grocery
Rs 5635.29 sent to Uber from your A/c x1552 on 16/11/2024. Ref 1371045872,5635.29,sent,HDFC,Uber,x1552,16/11/2024,1371045872,Shopping
Rs 3490.84 sent to Amazon from your A/c x9701 on 18/10/2023. Ref 8423262230,3490.84,sent,SBI,Amazon,x9701,18/10/2023,8423262230,Shopping
Rs 3333.14 received to Uber from your A/c x9061 on 31/01/2024. Ref 3807673900,3333.14,received,Kotak,Uber,x9061,31/01/2024,3807673900,Shopping
Rs 8915.83 debited to Flipkart from your A/c x9067 on 20/05/2024. Ref 3158343574,8915.83,debited,Kotak,Flipkart,x9067,20/05/2024,3158343574,Grocery
Rs 9034.1 debited to BigBasket from your A/c x5795 on 08/07/2023. Ref 2529347018,9034.1,debited,SBI,BigBasket,x5795,08/07/2023,2529347018,Transport
Rs 5061.54 credited to Swiggy from your A/c x9119 on 19/11/2024. Ref 1156347110,5061.54,credited,Axis,Swiggy,x9119,19/11/2024,1156347110,Food
Rs 6118.82 credited to Amazon from your A/c x1275 on 07/01/2025. Ref 5568997550,6118.82,credited,Axis,Amazon,x1275,07/01/2025,5568997550,Shopping
Rs 9702.83 sent to Uber from your A/c x8506 on 24/08/2023. Ref 5469266779,9702.83,sent,Axis,Uber,x8506,24/08/2023,5469266779,Shopping
Rs 4487.86 sent to Amazon from your A/c x1478 on 10/10/2024. Ref 6850377797,4487.86,sent,HSBC,Amazon,x1478,10/10/2024,6850377797,Shopping
Rs 4866.62 sent to Zomato from your A/c x6524 on 04/01/2025. Ref 2815584682,4866.62,sent,Axis,Zomato,x6524,04/01/2025,2815584682,Food
Rs 881.32 debited to Zomato from your A/c x1199 on 01/10/2023. Ref 1246825017,881.32,debited,Kotak,Zomato,x1199,01/10/2023,1246825017,Food
Rs 2469.64 debited to BigBasket from your A/c x8866 on 10/07/2023. Ref 2803784508,2469.64,debited,ICICI,BigBasket,x8866,10/07/2023,2803784508,Transport
Rs 204.78 credited to Swiggy from your A/c x5374 on 12/07/2024. Ref 4281458577,204.78,credited,Axis,Swiggy,x5374,12/07/2024,4281458577,Food
Rs 6580.63 debited to Flipkart from your A/c x6624 on 18/02/2025. Ref 1663830753,6580.63,debited,HDFC,Flipkart,x6624,18/02/2025,1663830753,Grocery
Rs 7784.15 debited to Flipkart from your A/c x2204 on 25/12/2023. Ref 2600085366,7784.15,debited,HDFC,Flipkart,x2204,25/12/2023,2600085366,Grocery
Rs 9426.89 sent to BigBasket from your A/c x2601 on 19/04/2024. Ref 3070953681,9426.89,sent,HSBC,BigBasket,x2601,19/04/2024,3070953681,Transport
Rs 6397.14 debited to BigBasket from your A/c x6762 on 08/09/2024. Ref 1077031563,6397.14,debited,ICICI,BigBasket,x6762,08/09/2024,1077031563,Transport
Rs 5903.54 credited to BigBasket from your A/c x4837 on 25/11/2023. Ref 2371419455,5903.54,credited,Kotak,BigBasket,x4837,25/11/2023,2371419455,Transport
Rs 4719.33 debited to BigBasket from your A/c x3162 on 14/12/2023. Ref 3144778888,4719.33,debited,SBI,BigBasket,x3162,14/12/2023,3144778888,Transport
Rs 1539.26 sent to BigBasket from your A/c x1562 on 13/10/2024. Ref 3210789282,1539.26,sent,Kotak,BigBasket,x1562,13/10/2024,3210789282,Transport
Rs 7478.1 debited to Zomato from your A/c x5732 on 10/12/2024. Ref 2829121409,7478.1,debited,HSBC,Zomato,x5732,10/12/2024,2829121409,Food
Rs 9977.46 received to Amazon from your A/c x9510 on 28/12/2024. Ref 8514246682,9977.46,received,Kotak,Amazon,x9510,28/12/2024,8514246682,Shopping
Rs 492.52 credited to Zomato from your A/c x5165 on 12/10/2024. Ref 5147705272,492.52,credited,ICICI,Zomato,x5165,12/10/2024,5147705272,Food
Rs 3415.97 credited to Amazon from your A/c x5720 on 08/11/2024. Ref 7237997764,3415.97,credited,Axis,Amazon,x5720,08/11/2024,7237997764,Shopping
Rs 4728.34 received to Zomato from your A/c x5080 on 11/12/2023. Ref 4427235199,4728.34,received,HDFC,Zomato,x5080,11/12/2023,4427235199,Food
Rs 1783.38 sent to BigBasket from your A/c x1020 on 19/06/2024. Ref 4374400073,1783.38,sent,Kotak,BigBasket,x1020,19/06/2024,4374400073,Transport
Rs 9752.07 sent to Flipkart from your A/c x2306 on 23/10/2023. Ref 6599088950,9752.07,sent,ICICI,Flipkart,x2306,23/10/2023,6599088950,Grocery
Rs 3709.97 credited to Uber from your A/c x2734 on 17/08/2024. Ref 4365795716,3709.97,credited,HSBC,Uber,x2734,17/08/2024,4365795716,Shopping
Rs 6547.63 credited to BigBasket from your A/c x8697 on 30/12/2024. Ref 4721537094,6547.63,credited,ICICI,BigBasket,x8697,30/12/2024,4721537094,Transport
Rs 7161.48 credited to Amazon from your A/c x4449 on 30/04/2023. Ref 7329452847,7161.48,credited,Kotak,Amazon,x4449,30/04/2023,7329452847,Shopping
Rs 7318.85 credited to Zomato from your A/c x9627 on 08/12/2023. Ref 1662696465,7318.85,credited,Axis,Zomato,x9627,08/12/2023,1662696465,Food
Rs 8546.15 debited to Zomato from your A/c x1775 on 30/10/2023. Ref 8660910718,8546.15,debited,Axis,Zomato,x1775,30/10/2023,8660910718,Food
Rs 5082.06 received to Swiggy from your A/c x3556 on 14/10/2023. Ref 5010245992,5082.06,received,Kotak,Swiggy,x3556,14/10/2023,5010245992,Food
Rs 2385.27 credited to Flipkart from your A/c x4173 on 12/05/2024. Ref 6594708204,2385.27,credited,SBI,Flipkart,x4173,12/05/2024,6594708204,Grocery
Rs 2397.07 received to BigBasket from your A/c x9986 on 13/06/2023. Ref 2728467924,2397.07,received,ICICI,BigBasket,x9986,13/06/2023,2728467924,Transport
Rs 5365.13 received to Swiggy from your A/c x1229 on 25/04/2024. Ref 3968506867,5365.13,received,ICICI,Swiggy,x1229,25/04/2024,3968506867,Food
Rs 2064.53 credited to Zomato from your A/c x3482 on 09/03/2024. Ref 8723224761,2064.53,credited,HDFC,Zomato,x3482,09/03/2024,8723224761,Food
Rs 3179.54 credited to Uber from your A/c x9371 on 06/09/2023. Ref 8518445786,3179.54,credited,Axis,Uber,x9371,06/09/2023,8518445786,Shopping
Rs 8131.09 sent to Amazon from your A/c x2702 on 03/06/2024. Ref 5813245384,8131.09,sent,HSBC,Amazon,x2702,03/06/2024,5813245384,Shopping
Rs 5413.25 sent to Swiggy from your A/c x6852 on 13/07/2023. Ref 6877982473,5413.25,sent,HDFC,Swiggy,x6852,13/07/2023,6877982473,Food
Rs 4113.49 sent to Flipkart from your A/c x9573 on 14/07/2024. Ref 7827753561,4113.49,sent,Kotak,Flipkart,x9573,14/07/2024,7827753561,Grocery
Rs 7088.25 debited to Zomato from your A/c x5439 on 04/06/2023. Ref 4752986319,7088.25,debited,HDFC,Zomato,x5439,04/06/2023,4752986319,Food
Rs 8754.38 received to BigBasket from your A/c x2071 on 10/01/2024. Ref 2129732979,8754.38,received,ICICI,BigBasket,x2071,10/01/2024,2129732979,Transport
Rs 7509.67 credited to Zomato from your A/c x4859 on 06/10/2023. Ref 2527168340,7509.67,credited,Axis,Zomato,x4859,06/10/2023,2527168340,Food
Rs 5109.16 credited to BigBasket from your A/c x3283 on 30/09/2024. Ref 2606749395,5109.16,credited,Axis,BigBasket,x3283,30/09/2024,2606749395,Transport
Rs 7996.02 received to Zomato from your A/c x8560 on 01/05/2023. Ref 2226262288,7996.02,received,ICICI,Zomato,x8560,01/05/2023,2226262288,Food
Rs 2824.17 credited to Amazon from your A/c x5503 on 26/12/2024. Ref 2000169456,2824.17,credited,HDFC,Amazon,x5503,26/12/2024,2000169456,Shopping
Rs 6069.71 sent to Flipkart from your A/c x1800 on 18/08/2024. Ref 8470994959,6069.71,sent,HDFC,Flipkart,x1800,18/08/2024,8470994959,Grocery
Rs 9784.85 credited to Zomato from your A/c x4637 on 09/05/2023. Ref 6793818991,9784.85,credited,Kotak,Zomato,x4637,09/05/2023,6793818991,Food
Rs 6440.16 received to BigBasket from your A/c x7876 on 10/12/2024. Ref 4558299574,6440.16,received,ICICI,BigBasket,x7876,10/12/2024,4558299574,Transport
Rs 6372.43 received to Amazon from your A/c x1405 on 11/03/2025. Ref 4523531476,6372.43,received,HSBC,Amazon,x1405,11/03/2025,4523531476,Shopping
Rs 9767.83 sent to Swiggy from your A/c x3117 on 14/02/2024. Ref 7996848930,9767.83,sent,HDFC,Swiggy,x3117,14/02/2024,7996848930,Food
Rs 1728.32 debited to Amazon from your A/c x2209 on 04/01/2025. Ref 4204173314,1728.32,debited,SBI,Amazon,x2209,04/01/2025,4204173314,Shopping
Rs 4366.56 debited to Flipkart from your A/c x9447 on 04/07/2024. Ref 2586705353,4366.56,debited,ICICI,Flipkart,x9447,04/07/2024,2586705353,Grocery
Rs 4072.92 sent to Flipkart from your A/c x3652 on 16/06/2024. Ref 8283805686,4072.92,sent,HDFC,Flipkart,x3652,16/06/2024,8283805686,Grocery
Rs 4590.3 credited to Swiggy from your A/c x1429 on 31/07/2023. Ref 8226777431,4590.3,credited,HDFC,Swiggy,x1429,31/07/2023,8226777431,Food
Rs 1254.81 credited to Uber from your A/c x9783 on 27/06/2023. Ref 4667742078,1254.81,credited,HDFC,Uber,x9783,27/06/2023,4667742078,Shopping
Rs 4923.34 received to Flipkart from your A/c x4706 on 23/03/2023. Ref 8585660024,4923.34,received,ICICI,Flipkart,x4706,23/03/2023,8585660024,Grocery
Rs 7203.25 credited to Uber from your A/c x4202 on 17/11/2024. Ref 8068834246,7203.25,credited,ICICI,Uber,x4202,17/11/2024,8068834246,Shopping
Rs 5349.05 debited to Amazon from your A/c x4491 on 01/11/2023. Ref 9826209147,5349.05,debited,ICICI,Amazon,x4491,01/11/2023,9826209147,Shopping
Rs 3306.81 sent to Flipkart from your A/c x1478 on 09/01/2024. Ref 6449603269,3306.81,sent,HSBC,Flipkart,x1478,09/01/2024,6449603269,Grocery
Rs 2777.0 credited to BigBasket from your A/c x1861 on 15/08/2023. Ref 1273930914,2777.0,credited,HDFC,BigBasket,x1861,15/08/2023,1273930914,Transport
Rs 4237.21 credited to BigBasket from your A/c x8795 on 07/02/2025. Ref 9464849591,4237.21,credited,Kotak,BigBasket,x8795,07/02/2025,9464849591,Transport
Rs 2299.18 debited to Flipkart from your A/c x4764 on 29/04/2023. Ref 9649182030,2299.18,debited,Axis,Flipkart,x4764,29/04/2023,9649182030,Grocery
Rs 5275.85 received to BigBasket from your A/c x8120 on 18/04/2024. Ref 7578990387,5275.85,received,Axis,BigBasket,x8120,18/04/2024,7578990387,Transport
Rs 3392.85 credited to Flipkart from your A/c x4597 on 25/09/2024. Ref 8060118681,3392.85,credited,HDFC,Flipkart,x4597,25/09/2024,8060118681,Grocery
Rs 4285.65 debited to BigBasket from your A/c x3641 on 14/02/2025. Ref 8877042169,4285.65,debited,HDFC,BigBasket,x3641,14/02/2025,8877042169,Transport
Rs 8971.98 received to Zomato from your A/c x8579 on 17/04/2024. Ref 2957936201,8971.98,received,SBI,Zomato,x8579,17/04/2024,2957936201,Food
Rs 348.98 sent to Flipkart from your A/c x6403 on 27/05/2023. Ref 5393650932,348.98,sent,SBI,Flipkart,x6403,27/05/2023,5393650932,Grocery
Rs 447.4 credited to Amazon from your A/c x5595 on 06/10/2023. Ref 7618927968,447.4,credited,HSBC,Amazon,x5595,06/10/2023,7618927968,Shopping
Rs 4554.36 received to Amazon from your A/c x4944 on 27/03/2024. Ref 4255347567,4554.36,received,SBI,Amazon,x4944,27/03/2024,4255347567,Shopping
Rs 9142.46 debited to Amazon from your A/c x3778 on 04/01/2025. Ref 8640379479,9142.46,debited,HSBC,Amazon,x3778,04/01/2025,8640379479,Shopping
Rs 2256.89 sent to Swiggy from your A/c x2153 on 07/07/2024. Ref 4775080605,2256.89,sent,SBI,Swiggy,x2153,07/07/2024,4775080605,Food
Rs 5502.96 sent to Flipkart from your A/c x8042 on 29/06/2023. Ref 5165150544,5502.96,sent,Axis,Flipkart,x8042,29/06/2023,5165150544,Grocery
Rs 7038.4 credited to Zomato from your A/c x4023 on 10/06/2024. Ref 6551432865,7038.4,credited,SBI,Zomato,x4023,10/06/2024,6551432865,Food
Rs 2228.37 received to Amazon from your A/c x6246 on 12/07/2024. Ref 4787987264,2228.37,received,HSBC,Amazon,x6246,12/07/2024,4787987264,Shopping
Rs 5247.31 received to Swiggy from your A/c x4102 on 24/12/2023. Ref 4231349736,5247.31,received,HDFC,Swiggy,x4102,24/12/2023,4231349736,Food
Rs 7524.04 debited to Swiggy from your A/c x4150 on 18/12/2024. Ref 5339239685,7524.04,debited,Axis,Swiggy,x4150,18/12/2024,5339239685,Food
Rs 9034.42 received to Swiggy from your A/c x1236 on 17/11/2023. Ref 3419765058,9034.42,received,ICICI,Swiggy,x1236,17/11/2023,3419765058,Food
Rs 6897.67 received to Amazon from your A/c x1356 on 30/07/2024. Ref 3405898563,6897.67,received,Kotak,Amazon,x1356,30/07/2024,3405898563,Shopping
Rs 7208.22 sent to Amazon from your A/c x5554 on 28/09/2023. Ref 8477911104,7208.22,sent,ICICI,Amazon,x5554,28/09/2023,8477911104,Shopping
Rs 4436.54 received to Swiggy from your A/c x5046 on 24/04/2023. Ref 3595252845,4436.54,received,Kotak,Swiggy,x5046,24/04/2023,3595252845,Food
Rs 2872.34 credited to BigBasket from your A/c x3949 on 24/03/2023. Ref 5120415526,2872.34,credited,SBI,BigBasket,x3949,24/03/2023,5120415526,Transport
Rs 5733.92 sent to Amazon from your A/c x5172 on 27/04/2023. Ref 3754392285,5733.92,sent,ICICI,Amazon,x5172,27/04/2023,3754392285,Shopping
Rs 2449.73 credited to Zomato from your A/c x5197 on 02/07/2023. Ref 7871237364,2449.73,credited,Kotak,Zomato,x5197,02/07/2023,7871237364,Food
Rs 4843.84 sent to Flipkart from your A/c x4381 on 20/12/2023. Ref 4645039640,4843.84,sent,Kotak,Flipkart,x4381,20/12/2023,4645039640,Grocery
Rs 8066.99 received to Uber from your A/c x3914 on 09/10/2023. Ref 5254865461,8066.99,received,HSBC,Uber,x3914,09/10/2023,5254865461,Shopping
Rs 3452.39 credited to Swiggy from your A/c x6902 on 11/10/2023. Ref 2605185680,3452.39,credited,HDFC,Swiggy,x6902,11/10/2023,2605185680,Food
Rs 2648.72 credited to Uber from your A/c x1406 on 13/02/2024. Ref 7346537632,2648.72,credited,Kotak,Uber,x1406,13/02/2024,7346537632,Shopping
Rs 6774.63 credited to Zomato from your A/c x2251 on 21/01/2024. Ref 4923601358,6774.63,credited,ICICI,Zomato,x2251,21/01/2024,4923601358,Food
Rs 4335.86 sent to BigBasket from your A/c x1860 on 15/05/2024. Ref 4828513347,4335.86,sent,SBI,BigBasket,x1860,15/05/2024,4828513347,Transport
Rs 3163.71 sent to Zomato from your A/c x3316 on 31/07/2024. Ref 9118414937,3163.71,sent,HSBC,Zomato,x3316,31/07/2024,9118414937,Food
Rs 4581.75 debited to Zomato from your A/c x3539 on 03/05/2023. Ref 4513518306,4581.75,debited,HSBC,Zomato,x3539,03/05/2023,4513518306,Food
Rs 6434.58 credited to Uber from your A/c x6710 on 21/05/2023. Ref 4286338099,6434.58,credited,Kotak,Uber,x6710,21/05/2023,4286338099,Shopping
Rs 596.47 credited to Zomato from your A/c x4467 on 20/05/2023. Ref 8160160744,596.47,credited,SBI,Zomato,x4467,20/05/2023,8160160744,Food
Rs 5557.11 debited to Uber from your A/c x7329 on 16/06/2023. Ref 4755482033,5557.11,debited,ICICI,Uber,x7329,16/06/2023,4755482033,Shopping
Rs 2200.8 debited to Amazon from your A/c x5497 on 15/04/2023. Ref 7862059430,2200.8,debited,HDFC,Amazon,x5497,15/04/2023,7862059430,Shopping
